"heinous","act"
"top","stori"
"ever","run"
"bukan","bom","untuk"
"apart","search","polic"
"serangan","bom"
"evacu","threat"
"evacu","911buff"
"varsiti","hopedal","team","1","danmantoni"
"brought","break","offici","law","court"
"plane","men","speak"
"european","npworldnew","union","eu"
"european","npworldnew","union","north"
"european","npworldnew","treati","eu"
"effect","go","today","explos"
"effect","go","today","prayer","pray","everyon","thought","sad","heart"
"toward","that","run","help","peopl"
"toward","1","donat","run"
"toward","1","donat","hopedal","everi","team","danmantoni","effort"
"toward","1","peopl","everi"
"toward","1","peopl","run"
"toward","help","run","donat"
"pakistani","taliban"
"crazi","peopl","go","polic","watch","run","get"
"crazi","peopl","go","polic","watch","run","news","live"
"crazi","peopl","go","polic","watch","run","news","shot"
"crazi","peopl","go","polic","right","live","news"
"crazi","peopl","go","world","live","run","news","watch"
"crazi","peopl","go","world","live","run","news","thought"
"crazi","peopl","go","world","live","happen","shit"
"crazi","peopl","go","world","live","happen","news","watch","sad"
"crazi","peopl","go","world","live","happen","news","thought","right"
"crazi","peopl","go","world","live","happen","news","thought","sad"
"crazi","peopl","go","world","shot","watch","run","news"
"crazi","peopl","go","world","get","watch","run"
"crazi","peopl","go","world","get","watch","happen"
"crazi","peopl","go","world","get","shit","happen"
"crazi","peopl","think","thought","run"
"crazi","peopl","think","thought","happen","sad"
"site","explos"
"school","go","shoot","shot","polic","kill"
"school","go","run","hate","prayforboston","watch","movi","world","shot"
"school","go","run","hate","prayforboston","watch","movi","world","get"
"school","go","run","peopl","movi","prayforboston","kill","watch","world","shot"
"school","go","run","peopl","movi","prayforboston","kill","watch","world","get"
"school","go","run","peopl","movi","prayforboston","kill","safe","get"
"school","go","run","peopl","movi","mess","world","shot"
"school","go","run","peopl","movi","mess","world","get"
"school","go","run","peopl","polic","watch","kill","shot"
"school","go","run","peopl","polic","watch","kill","get"
"school","say","shot","kill","shoot","polic"
"school","say","shot","kill","run","peopl","prayforboston"
"school","say","shot","kill","run","peopl","polic"
"board","circuit"
"consid","offici","1","arm","dead","attack","run","2","danger"
"togeth","come"
"togeth","bostonstrong"
"hous","court"
"hous","white","polic","watertown","explos"
"hous","white","polic","attack"
"hous","white","obama","attack"
"globe","news","one","report","old"
"globe","news","one","report","say","bostonglob"
"globe","news","move","say"
"episod","famili","fox","pull","guy"
"reuter","break","polic","say","investig"
"messag","sent"
"messag","york","music","project"
"messag","york","new"
"messag","kill"
"chicagotribun","via","baxterholm"
"beat","fuck"
"dedic","today","via","page","baxterholm"
"dedic","today","via","victim"
"dedic","newtown"
"press","live","confer"
"repair","dewalt","buriram","ruangsangthai","free","srkrokx","power","tool"
"repair","dewalt","buriram","ruangsangthai","free","srkrokx","minor"
"gun","control"
"gun","peopl","attack","polic","us","terror"
"gun","peopl","attack","obama","blame"
"gun","peopl","attack","obama","terror","us"
"gun","peopl","attack","obama","terror","america"
"gun","peopl","death","terror"
"gun","peopl","law","polic"
"club","arsenal"
"treat","hospit"
"ran","runner","line","finish"
"ran","runner","today"
"ran","runner","help"
"ran","peopl","blast","line","finish"
"ran","peopl","blast","help"
"ran","peopl","today"
"spirit","human"
"agama","bom","untuk"
"dua","ledakan"
"dua","pelaku"
"tax","day"
"held","victim"
"leeevans_comedi","p","everi","2","tragedi"
"leeevans_comedi","p","everi","2","retweet","donat"
"local","polic","news"
"continu","run","pray","give"
"continu","run","pray","thought"
"continu","run","report","watertown","mass"
"continu","run","report","line","nbcsn","give","mass","finish"
"continu","run","report","line","nbcsn","give","mass","general"
"continu","run","report","line","nbcsn","give","blood","hospit","cross","finish"
"continu","run","report","line","nbcsn","give","blood","hospit","general"
"continu","prayer","pray","thought"
"itu","saat","maraton","tewa"
"lari","bom"
"stadium","yanke","sweet"
"ditemukan","bom"
"terjadi","ledakan","di","yang"
"terjadi","ledakan","bom"
"immedi","massstatepolic","recogn","1","call"
"union","npworldnew","organ","north"
"62","akitz"
"rise","sun"
"breakingnew","polic","live","report"
"breakingnew","polic","dzhokhar"
"cooker","pressur"
"forward","pleas","anyon","line","911buff","finish","polic","video"
"forward","pleas","anyon","line","911buff","finish","polic","come"
"loos","watertown","kill","one","anoth","bostonglob"
"loos","watertown","kill","one","still"
"loos","watertown","kill","1","anoth","bostonglob"
"cnnbrk","polic","offici","1","peopl","say","dead","attack","kill","2","report"
"cnnbrk","polic","offici","tell"
"cnnbrk","polic","3","dead","attack","1","kill","peopl"
"graphic","warn"
"graphic","photo"
"abl","talk","may"
"50","moment","victim","2"
"yahoo","via","news"
"either","massstatepolic","1","call"
"park","fenway"
"surviv","break","tsarnaev","dzhokhar","ap"
"surviv","break","tsarnaev","dzhokhar","name"
"deni","offici","ap","report","feder"
"west","offic","watertown","report","still"
"west","offic","watertown","report","die","wit"
"west","offic","watertown","report","die","mile"
"west","watertown","tonight","peopl"
"west","watertown","report","peopl","still"
"west","watertown","report","peopl","die"
"west","report","peopl","may","give"
"west","report","peopl","may","still"
"west","midwest","may","lot"
"west","midwest","may","still"
"west","midwest","may","help"
"west","pray","die","prayer","peopl"
"west","pray","week","texa","prayer"
"west","pray","god","texa","prayer","peopl"
"west","pray","god","may","tonight","lot","tx","flood"
"west","pray","god","may","tonight","help","prayer","peopl"
"west","pray","god","may","tonight","help","give","tx","flood"
"west","pray","god","may","tonight","help","give","peopl"
"west","pray","god","may","still","peopl","prayer"
"west","pray","god","may","still","flood","tx"
"whitehous","presid","obama"
"write","respond"
"gunfir","watertown","polic","bbcbreak"
"ri","untuk"
"fan","video","time"
"fan","video","anthem","nation"
"fan","go","team","espn"
"fan","go","team","root"
"fan","go","bruin","watch","bostonstrong"
"fan","yanke","sweet","bostonstrong","tonight","support"
"fan","yanke","sweet","bostonstrong","home"
"fan","root","team","time"
"fan","game","watch","sabr","tonight","bruin","bostonstrong"
"fan","game","watch","emot","first","sinc","sing","must"
"fan","game","watch","emot","bostonstrong"
"fan","game","watch","nation","tonight","bostonstrong","bruin"
"fan","game","watch","nation","tonight","bostonstrong","anthem"
"fan","game","watch","nation","tonight","sing","anthem"
"fan","game","watch","nation","first","bruin"
"fan","game","watch","nation","first","sing","sinc","must"
"fan","game","watch","nation","first","sing","anthem"
"fan","game","sweet","tonight","bostonstrong"
"fan","game","sweet","tonight","sing"
"fan","game","sweet","home","bostonstrong"
"fan","game","sweet","home","sing"
"fan","game","home","first","bruin","nation"
"fan","game","home","first","sing","sinc","must","emot"
"fan","game","home","first","sing","sinc","must","nation"
"fan","game","home","bostonstrong","bruin","nation"
"fan","game","home","bostonstrong","emot"
"fan","game","salut","bostonstrong"
"fan","team","espn","time"
"fan","cheer"
"fan","mlb"
"lomba","bom"
"surveil","video"
"score","sweet","heart","ny","peopl","thank","run","yanke","play","home","neildiamond"
"among","dead","8","old","year"
"uniform","shanevictorino","today","wear"
"uniform","shanevictorino","new"
"tribut","paid"
"tribut","tonight","sweet","game"
"tribut","tonight","sweet","play"
"tribut","tonight","victim","play"
"tribut","pay","victim"
"benghazi","obama"
"afghanistan","kill","pakistan"
"afghanistan","kill","die","iraq","peopl"
"relief","donat","fund","100","victim"
"relief","donat","fund","100","dannyamendola","next"
"relief","donat","hopedal","1","danmantoni","team","effort"
"relief","donat","hopedal","1","danmantoni","victim"
"8yr","old"
"possibl","video","polic","break","news","911buff"
"possibl","video","polic","break","news","investig","sourc"
"possibl","video","polic","break","news","investig","photo"
"strombone1","tonight"
"later","texa"
"taylorswift13","love","day","dont","know","say"
"xx","go","thought","edsheeran"
"bagasi","penumpang"
"care","obama","bring","realdonaldtrump","back","killer"
"care","obama","dont","peopl"
"care","die","dont","peopl"
"didnt","peopl"
"icon","photo","help"
"ppl","die"
"third","student"
"cloydriv","terrorboy"
"cloydriv","god","cant"
"cloydriv","god","bombin","merica"
"neildiamond","sweet","thank","play","carolin"
"neildiamond","res","home"
"bad","happen","peopl"
"2nd","dead"
"waco","texa"
"return","run","home"
"cowboy","hat","hero"
"ditembak","polisi"
"finder","googl"
"incred","watertown","video","scene","manuel_c"
"incred","watertown","video","news"
"awesom","rmarmstrong88","america","street"
"patriot","day"
"tgdn","tcot"
"chechnya","bom"
"chechnya","1","us","ap","live","least","near","year","region","break","sourc"
"chechnya","1","us","ap","live","least","near","year","russia"
"chechnya","1","us","ss"
"chechnya","1","bomber"
"chechnya","brother","break","ap","sourc","year"
"100","dead","kill"
"100","everi","victim","fund","donat"
"100","everi","dannyamendola","next","pass","season","200","fund","donat"
"100","everi","dannyamendola","next","pass","season","200","catch"
"100","everi","dannyamendola","next","pass","season","whatev","catch"
"100","kill","victim"
"must","first","run","emot","watch"
"must","first","run","emot","home"
"17","least","critic"
"17","least","3"
"15th","april","wisdomsquot"
"15th","april","prayforboston"
"15th","april","hillsbourgh"
"rt_com","break","dzhokhar","photo","tsarnaev"
"woman","cnn","pick","tri","case","seinfeldtoday","produc","georg"
"woman","cnn","pick","tri","case","seinfeldtoday","claim","georg"
"woman","cnn","pick","tri","case","seinfeldtoday","claim","cop","arrest"
"woman","muslim"
"codysimpson","everyon","go","love","condol","prayer"
"codysimpson","everyon","go","love","believ","liter","cannot"
"codysimpson","everyon","go","love","believ","affect","prayer"
"codysimpson","everyon","go","love","believ","affect","cannot"
"codysimpson","everyon","much","believ","prayer","affect"
"codysimpson","everyon","much","believ","cannot","liter"
"codysimpson","everyon","much","believ","cannot","affect"
"caught","watertown","one","polic","anoth","bostonglob"
"caught","watertown","one","polic","guy"
"calm","carri","keep"
"bbcmarathon","london"
"fals","via","report"
"mayortommenino","oneboston"
"texa","hello","shoot","right","go","state"
"texa","peopl","everi","pray","happen","one","tragedi"
"texa","peopl","everi","pray","happen","right"
"texa","peopl","prayer","send","love","everyon","pleas","dont"
"texa","peopl","prayer","send","love","everyon","pleas","heart"
"texa","peopl","prayer","send","love","everyon","thought","heart"
"texa","peopl","prayer","send","love","day","thought"
"texa","peopl","prayer","send","love","day","dont"
"texa","peopl","prayer","send","happen","everyon","thought","heart"
"texa","peopl","prayer","send","happen","everyon","dont"
"texa","peopl","prayer","send","happen","day","thought"
"texa","peopl","prayer","send","happen","day","dont"
"texa","peopl","prayer","first","tragedi"
"texa","peopl","prayer","pray","pleas","everyon","right","dont"
"texa","peopl","prayer","pray","pleas","everyon","love","tragedi","god","heart"
"texa","peopl","prayer","pray","pleas","everyon","love","dont"
"texa","peopl","prayer","pray","like","happen","news","tragedi"
"texa","peopl","prayer","pray","like","happen","news","dont"
"texa","peopl","prayer","pray","go","one","dont","everyon","love"
"texa","peopl","prayer","pray","go","one","dont","everyon","happen","news","world"
"texa","peopl","prayer","pray","go","one","dont","kill","news","world"
"texa","peopl","prayer","pray","go","one","heart","thought","tragedi","everyon","love","god"
"texa","peopl","prayer","pray","go","one","heart","thought","tragedi","everyon","world","happen","news"
"texa","peopl","prayer","pray","go","one","heart","thought","kill","news","world"
"texa","peopl","prayer","pray","go","right","happen","everyon","news","world","thought"
"texa","peopl","prayer","pray","go","right","happen","everyon","news","world","dont"
"texa","peopl","prayer","pray","day","thought","tragedi","love"
"texa","peopl","prayer","pray","day","thought","tragedi","happen","news"
"texa","peopl","prayer","pray","day","thought","kill","news"
"texa","peopl","prayer","pray","day","dont","love"
"texa","peopl","prayer","pray","day","dont","news","happen"
"texa","peopl","prayer","pray","day","dont","news","kill"
"texa","peopl","prayer","man","news","kill"
"texa","peopl","america","go","pray","right","dont"
"texa","peopl","america","go","pray","love","dont"
"texa","peopl","america","go","pray","love","god"
"texa","peopl","finish","pleas","heart"
"texa","peopl","finish","kill","man"
"texa","peopl","finish","kill","heart"
"texa","plant"
"texa","shoot","go","one","news","kill"
"texa","shoot","go","right","unit","state"
"texa","shoot","go","right","news"
"texa","prayfortexa","first"
"texa","much","everyon","prayer","happen","news"
"texa","week","pray","prayer","tragedi","happen"
"texa","week","pray","prayer","kill"
"texa","week","pray","america"
"ledakan","tewa","korban","bom"
"ledakan","tewa","korban","di"
"ledakan","tewa","yang","di"
"glad","safe","im"
"glad","found","finnharri"
"nava","run","3"
"expect","offici","break","ap","law","court","feder"
"part","peopl","take","london"
"part","peopl","news","break","three","taken"
"part","peopl","news","break","three","investig"
"part","peopl","news","london"
"shelter","place"
"itsrealt","get"
"akan","bom"
"akan","obama"
"inform","channel","updat","hear","post","ask","user","media"
"inform","channel","updat","hear","post","ask","user","social"
"inform","polic","ask","fbi"
"inform","polic","ask","updat","post","user","hear","media"
"inform","polic","ask","updat","post","user","hear","social"
"inform","polic","1","fbi","call"
"dalam","korban","di"
"dalam","korban","bom"
"pigeon","ruangsangthai","dewalt","buriram","srkrokx"
"1d","1dworldboston"
"malik","zayn","iharryworldwid"
"malik","zayn","terrorist","peopl"
"terribl","thought","event","go","prayer","peopl","prayforboston","famili","today","everyon","affect","sad"
"terribl","thought","news","louis_tomlinson","go","anyon","affect"
"terribl","thought","news","sad","everyon","harry_styl","x","heard"
"terribl","thought","news","sad","everyon","prayer","prayforboston","go","peopl","today","famili","pray","tragedi","happen","affect"
"terribl","thought","news","sad","everyon","prayer","prayforboston","heard"
"terribl","thought","news","sad","day","prayer","prayforboston","pray","tragedi","happen","peopl"
"terribl","thought","citi","prayer","peopl","prayforboston","happen","pray","everyon","go","today","affect"
"terribl","thought","citi","prayer","peopl","prayforboston","happen","pray","day"
"zooey","deschanel"
"ask","polic","updat","photo"
"ask","polic","stay"
"ask","polic","attack","terror","fbi"
"ask","polic","attack","media","post"
"ask","polic","attack","help","identifi","photo"
